IMPLdtl00130;IMPL-0025;#RIF!;CRC167LMXB04004;/;M167XB03004;/;SC;CRC0167LMXB04004;#N/D
IMPLdtl00131;IMPL-0025;#RIF!;CRC167LMXB04005;/;M167XB03004;/;SC;CRC0167LMXB04005;#N/D
IMPLdtl00132;IMPL-0025;#RIF!;CRC167LMXB04006;/;M167XB03004;/;SC;CRC0167LMXB04006;#N/D
IMPLdtl00133;IMPL-0026;#RIF!;CRC176LMXA02001;/;CRC176LMXA01001;gAmmA null;SC;CRC0176LMXA02001;#N/D
IMPLdtl00134;IMPL-0026;#RIF!;CRC176LMXA02002;/;CRC176LMXA01001;gAmmA null;SC;CRC0176LMXA02002;#N/D
IMPLdtl00135;IMPL-0026;#RIF!;CRC176LMXA02003;/;CRC176LMXA01001;gAmmA null;SC;CRC0176LMXA02003;#N/D
IMPLdtl00136;IMPL-0026;#RIF!;CRC176LMXA02004;/;CRC176LMXA01001;gAmmA null;SC;CRC0176LMXA02004;#N/D
IMPLdtl00137;IMPL-0027;#RIF!;CRC199LMXA01001;/;CRC199LMH00000;/;SC;CRC0199LMXA01001;#N/D
IMPLdtl00138;IMPL-0027;#RIF!;CRC199LMXB01001;/;CRC199LMH00000;/;SC;CRC0199LMXB01001;#N/D
IMPLdtl00139;IMPL-0028;#RIF!;CRC168LMXA03001;EXPLdtl-00136;CRC168LMXA02002;/;SC;CRC0168LMXA03001;#N/D
IMPLdtl00140;IMPL-0028;#RIF!;CRC168LMXA03002;EXPLdtl-00136;CRC168LMXA02002;/;SC;CRC0168LMXA03002;GABBIA G
IMPLdtl00141;IMPL-0028;#RIF!;CRC168LMXA03007;EXPLdtl-00136;CRC168LMXA02002;/;SC;CRC0168LMXA03007;
IMPLdtl00142;IMPL-0028;#RIF!;CRC168LMXA03008;EXPLdtl-00136;CRC168LMXA02002;/;SC;CRC0168LMXA03008;
IMPLdtl00143;IMPL-0028;#RIF!;CRC168LMXA03003;EXPLdtl-00137;CRC168LMXA02003;/;SC;CRC0168LMXA03003;GABBIA G
IMPLdtl00144;IMPL-0028;#RIF!;CRC168LMXA03004;EXPLdtl-00137;CRC168LMXA02003;/;SC;CRC0168LMXA03004;GABBIA G
IMPLdtl00145;IMPL-0028;#RIF!;CRC168LMXA03009;EXPLdtl-00137;CRC168LMXA02003;/;SC;CRC0168LMXA03009;#N/D
IMPLdtl00146;IMPL-0028;#RIF!;CRC168LMXA03010;EXPLdtl-00137;CRC168LMXA02003;/;SC;CRC0168LMXA03010;#N/D
IMPLdtl00147;IMPL-0028;#RIF!;CRC168LMXA03005;EXPLdtl-00138;CRC168LMXA02004;/;SC;CRC0168LMXA03005;#N/D
IMPLdtl00148;IMPL-0028;#RIF!;CRC168LMXA03006;EXPLdtl-00138;CRC168LMXA02004;/;SC;CRC0168LMXA03006;#N/D
IMPLdtl00149;IMPL-0028;#RIF!;CRC168LMXA03011;EXPLdtl-00138;CRC168LMXA02004;/;SC;CRC0168LMXA03011;#N/D
IMPLdtl00150;IMPL-0028;#RIF!;CRC168LMXA03012;EXPLdtl-00138;CRC168LMXA02004;/;SC;CRC0168LMXA03012;#N/D
IMPLdtl00151;IMPL-0029;#RIF!;CRC216LMXA01001;/;CRC216LMH00000;/;SC;CRC0216LMXA01001;#N/D
IMPLdtl00152;IMPL-0029;#RIF!;CRC216LMXB01001;/;CRC216LMH00000;/;SC;CRC0216LMXB01001;#N/D
IMPLdtl00153;IMPL-0030;#RIF!;CRC217LMXA01001;/;CRC217LMH00000;/;SC;CRC0217LMXA01001;#N/D
IMPLdtl00154;IMPL-0030;#RIF!;CRC217LMXB01001;/;CRC217LMH00000;/;SC;CRC0217LMXB01001;#N/D
IMPLdtl00155;IMPL-0031;#RIF!;CRC218LMXA01001;/;CRC218LMH00000;/;SC;CRC0218LMXA01001;#N/D
IMPLdtl00156;IMPL-0031;#RIF!;CRC219LMXA01001;/;CRC219LMH00000;/;SC;CRC0219LMXA01001;#N/D
IMPLdtl00157;IMPL-0032;#RIF!;CRC219LMXB01001;/;CRC219LMH00000;/;SC;CRC0219LMXB01001;#N/D
IMPLdtl00158;IMPL-0033;#RIF!;CRC221LMXA01001;/;CRC221LMH00000;/;SC;CRC0221LMXA01001;#N/D
IMPLdtl00159;IMPL-0033;#RIF!;CRC221LMXB01001;/;CRC221LMH00000;/;SC;CRC0221LMXB01001;#N/D
IMPLdtl00160;IMPL-0034;#RIF!;CRC222LMXA01001;/;CRC222LMH00000;/;SC;CRC0222LMXA01001;#N/D
IMPLdtl00161;IMPL-0034;#RIF!;CRC222LMXB01001;/;CRC222LMH00000;/;SC;CRC0222LMXB01001;#N/D
IMPLdtl00162;IMPL-0035;#RIF!;CRC179LMXB02001;EXPLdtl-00195;CRC179LMXB01001;/;SC;CRC0179LMXB02001;#N/D
IMPLdtl00163;IMPL-0035;#RIF!;CRC179LMXB02002;EXPLdtl-00195;CRC179LMXB01001;/;SC;CRC0179LMXB02002;#N/D
IMPLdtl00164;IMPL-0035;#RIF!;CRC179LMXB02003;EXPLdtl-00195;CRC179LMXB01001;/;SC;CRC0179LMXB02003;#N/D
IMPLdtl00165;IMPL-0035;#RIF!;CRC179LMXB02004;EXPLdtl-00195;CRC179LMXB01001;/;SC;CRC0179LMXB02004;#N/D
IMPLdtl00166;IMPL-0036;#RIF!;CRC190LMXA02001;EXPLdtl-00196;CRC190LMXA01001;/;SC;CRC0190LMXA02001;#N/D
IMPLdtl00167;IMPL-0036;#RIF!;CRC190LMXA02001;EXPLdtl-00196;CRC190LMXA01001;/;SC;CRC0190LMXA02001;#N/D
IMPLdtl00168;IMPL-0036;#RIF!;CRC190LMXA02001;EXPLdtl-00196;CRC190LMXA01001;/;SC;CRC0190LMXA02001;#N/D
IMPLdtl00169;IMPL-0036;#RIF!;CRC190LMXA02001;EXPLdtl-00196;CRC190LMXA01001;/;SC;CRC0190LMXA02001;#N/D
IMPLdtl00170;IMPL-0037;#RIF!;CRC154LMXA03001;EXPLdtl-00198;CRC154LMXA02002;/;SC;CRC0154LMXA03001;#N/D
IMPLdtl00171;IMPL-0037;#RIF!;CRC154LMXA03002;EXPLdtl-00198;CRC154LMXA02002;/;SC;CRC0154LMXA03002;#N/D
IMPLdtl00172;IMPL-0037;#RIF!;CRC154LMXA03003;EXPLdtl-00199;CRC154LMXA02003;/;SC;CRC0154LMXA03003;#N/D
IMPLdtl00173;IMPL-0037;#RIF!;CRC154LMXA03004;EXPLdtl-00199;CRC154LMXA02003;/;SC;CRC0154LMXA03004;#N/D
IMPLdtl00174;IMPL-0037;#RIF!;CRC154LMXA03005;EXPLdtl-00200;CRC154LMXA02004;/;SC;CRC0154LMXA03005;#N/D
IMPLdtl00175;IMPL-0037;#RIF!;CRC154LMXA03006;EXPLdtl-00200;CRC154LMXA02004;/;SC;CRC0154LMXA03006;#N/D
IMPLdtl00176;IMPL-0037;#RIF!;CRC154LMXA03007;EXPLdtl-00198;CRC154LMXA02002;/;SC;CRC0154LMXA03007;#N/D
IMPLdtl00177;IMPL-0037;#RIF!;CRC154LMXA03008;EXPLdtl-00198;CRC154LMXA02002;/;SC;CRC0154LMXA03008;#N/D
IMPLdtl00178;IMPL-0037;#RIF!;CRC154LMXA03009;EXPLdtl-00199;CRC154LMXA02003;/;SC;CRC0154LMXA03009;#N/D
IMPLdtl00179;IMPL-0037;#RIF!;CRC154LMXA03010;EXPLdtl-00199;CRC154LMXA02003;/;SC;CRC0154LMXA03010;#N/D
IMPLdtl00180;IMPL-0037;#RIF!;CRC154LMXA03011;EXPLdtl-00200;CRC154LMXA02004;/;SC;CRC0154LMXA03011;#N/D
IMPLdtl00181;IMPL-0037;#RIF!;CRC154LMXA03012;EXPLdtl-00200;CRC154LMXA02004;/;SC;CRC0154LMXA03012;#N/D
IMPLdtl00182;IMPL-0038;#RIF!;CRC175LMXA03001;EXPLdtl-00201;CRC175LMXA02002;/;SC;CRC0175LMXA03001;#N/D
IMPLdtl00183;IMPL-0038;#RIF!;CRC175LMXA03002;EXPLdtl-00201;CRC175LMXA02002;/;SC;CRC0175LMXA03002;#N/D
IMPLdtl00184;IMPL-0038;#RIF!;CRC175LMXA03003;EXPLdtl-00202;CRC175LMXA02003;/;SC;CRC0175LMXA03003;#N/D
IMPLdtl00185;IMPL-0038;#RIF!;CRC175LMXA03004;EXPLdtl-00202;CRC175LMXA02003;/;SC;CRC0175LMXA03004;#N/D
IMPLdtl00186;IMPL-0038;#RIF!;CRC175LMXA03005;EXPLdtl-00203;CRC175LMXA02004;/;SC;CRC0175LMXA03005;#N/D
IMPLdtl00187;IMPL-0038;#RIF!;CRC175LMXA03006;EXPLdtl-00203;CRC175LMXA02004;/;SC;CRC0175LMXA03006;#N/D
IMPLdtl00188;IMPL-0038;#RIF!;CRC175LMXA03007;EXPLdtl-00201;CRC175LMXA02002;/;SC;CRC0175LMXA03007;#N/D
IMPLdtl00189;IMPL-0038;#RIF!;CRC175LMXA03008;EXPLdtl-00201;CRC175LMXA02002;/;SC;CRC0175LMXA03008;#N/D
IMPLdtl00190;IMPL-0038;#RIF!;CRC175LMXA03009;EXPLdtl-00202;CRC175LMXA02003;/;SC;CRC0175LMXA03009;#N/D
IMPLdtl00191;IMPL-0038;#RIF!;CRC175LMXA03010;EXPLdtl-00202;CRC175LMXA02003;/;SC;CRC0175LMXA03010;#N/D
IMPLdtl00192;IMPL-0038;#RIF!;CRC175LMXA03011;EXPLdtl-00203;CRC175LMXA02004;/;SC;CRC0175LMXA03011;#N/D
IMPLdtl00193;IMPL-0038;#RIF!;CRC175LMXA03012;EXPLdtl-00203;CRC175LMXA02004;/;SC;CRC0175LMXA03012;#N/D
IMPLdtl00194;IMPL-0039;#RIF!;BRC039PRXA01001;/;BRC039PRH00000;/;FP;BRC0039PRXA01001;#N/D
IMPLdtl00195;IMPL-0040;#RIF!;BRC040PRXA01001;/;BRC040PRH00000;/;FP;BRC0040PRXA01001;#N/D
IMPLdtl00196;IMPL-0041;#RIF!;BRC041PRXA01001;/;BRC041PRH00000;/;FP;BRC0041PRXA01001;#N/D
